1.0000000000000000833e-030		-30
1.023292992280754167e-030		-29.989999999999998437
1.0471285480508995665e-030		-29.980000000000000426
1.071519305237606479e-030		-29.969999999999998863
1.0964781961431850282e-030		-29.960000000000000853
1.1220184543019634012e-030		-29.949999999999999289
1.1481536214968828311e-030		-29.940000000000001279
1.1748975549395295234e-030		-29.929999999999999716
1.2022644346174129548e-030		-29.920000000000001705
1.2302687708123816009e-030		-29.910000000000000142
1.2589254117941671655e-030		-29.899999999999998579
1.2882495516931340392e-030		-29.890000000000000568
1.318256738556407054e-030		-29.879999999999999005
1.3489628825916535963e-030		-29.870000000000000995
1.380384264602884773e-030		-29.859999999999999432
1.4125375446227543544e-030		-29.850000000000001421
1.4454397707459275831e-030		-29.839999999999999858
1.4791083881682073641e-030		-29.829999999999998295
1.5135612484362081779e-030		-29.820000000000000284
1.548816618912481383e-030		-29.809999999999998721
1.5848931924611134634e-030		-29.800000000000000711
1.6218100973589299989e-030		-29.789999999999999147
1.6595869074375607568e-030		-29.780000000000001137
1.6982436524617442598e-030		-29.769999999999999574
1.7378008287493754333e-030		-29.760000000000001563
1.7782794100389227178e-030		-29.75
1.8197008586099834438e-030		-29.739999999999998437
1.8620871366628674755e-030		-29.730000000000000426
1.9054607179632473199e-030		-29.719999999999998863
1.9498445997580453178e-030		-29.710000000000000853
1.9952623149688795247e-030		-29.699999999999999289
2.0417379446695293191e-030		-29.690000000000001279
2.0892961308540394206e-030		-29.679999999999999716
2.1379620895022319907e-030		-29.670000000000001705
2.1877616239495527341e-030		-29.660000000000000142
2.2387211385683394689e-030		-29.649999999999998579
2.2908676527677729426e-030		-29.640000000000000568
2.3442288153199220618e-030		-29.629999999999999005
2.3988329190194904851e-030		-29.620000000000000995
2.4547089156850302238e-030		-29.609999999999999432
2.5118864315095802261e-030		-29.600000000000001421
2.5703957827688637796e-030		-29.589999999999999858
2.6302679918953817592e-030		-29.579999999999998295
2.6915348039269156583e-030		-29.570000000000000284
2.7542287033381662895e-030		-29.559999999999998721
2.8183829312644537253e-030		-29.550000000000000711
2.8840315031266058359e-030		-29.539999999999999147
2.9512092266663855886e-030		-29.530000000000001137
3.0199517204020160662e-030		-29.519999999999999574
3.0902954325135905731e-030		-29.510000000000001563
3.1622776601683794064e-030		-29.5
3.2359365692962827397e-030		-29.489999999999998437
3.3113112148259106301e-030		-29.480000000000000426
3.3884415613920251471e-030		-29.469999999999998863
3.4673685045253160886e-030		-29.460000000000000853
3.5481338923357543039e-030		-29.449999999999999289
3.6307805477010136208e-030		-29.440000000000001279
3.7153522909717252768e-030		-29.429999999999999716
3.8018939632056118189e-030		-29.420000000000001705
3.8904514499428059731e-030		-29.410000000000000142
3.9810717055349724764e-030		-29.399999999999998579
4.073802778041127619e-030		-29.390000000000000568
4.1686938347033539265e-030		-29.379999999999999005
4.2657951880159269064e-030		-29.370000000000000995
4.3651583224016594521e-030		-29.359999999999999432
4.4668359215096310306e-030		-29.350000000000001421
4.5708818961487504443e-030		-29.339999999999999858
4.6773514128719821065e-030		-29.329999999999998295
4.7863009232263831676e-030		-29.320000000000000284
4.8977881936844617643e-030		-29.309999999999998721
5.0118723362727225917e-030		-29.300000000000000711
5.1286138399136485579e-030		-29.289999999999999147
5.2480746024977260064e-030		-29.280000000000001137
5.370317963702527374e-030		-29.269999999999999574
5.4954087385762456013e-030		-29.260000000000001563
5.6234132519034907989e-030		-29.25
5.7543993733715695529e-030		-29.239999999999998437
5.8884365535558897446e-030		-29.230000000000000426
6.0255958607435772703e-030		-29.219999999999998863
6.1659500186148219452e-030		-29.210000000000000853
6.3095734448019323064e-030		-29.199999999999999289
6.4565422903465547679e-030		-29.190000000000001279
6.6069344800759595975e-030		-29.179999999999999716
6.7608297539198174658e-030		-29.170000000000001705
6.9183097091893653597e-030		-29.160000000000000142
7.0794578438413791337e-030		-29.149999999999998579
7.2443596007499003599e-030		-29.140000000000000568
7.4131024130091745156e-030		-29.129999999999999005
7.5857757502918383795e-030		-29.120000000000000995
7.7624711662869171967e-030		-29.109999999999999432
7.943282347242814346e-030		-29.100000000000001421
8.1283051616409919231e-030		-29.089999999999999858
8.3176377110267104715e-030		-29.079999999999998295
8.5113803820237650227e-030		-29.070000000000000284
8.7096358995608062096e-030		-29.059999999999998721
8.9125093813374559916e-030		-29.050000000000000711
9.1201083935590973534e-030		-29.039999999999999147
9.3325430079699109775e-030		-29.030000000000001137
9.5499258602143596779e-030		-29.019999999999999574
9.7723722095581075056e-030		-29.010000000000001563
9.9999999999999994321e-030		-29
1.023292992280754167e-029		-28.989999999999998437
1.0471285480508995314e-029		-28.980000000000000426
1.071519305237606479e-029		-28.969999999999998863
1.0964781961431850633e-029		-28.960000000000000853
1.1220184543019634362e-029		-28.949999999999999289
1.148153621496882691e-029		-28.940000000000001279
1.1748975549395294884e-029		-28.929999999999999716
1.2022644346174129548e-029		-28.920000000000001705
1.2302687708123816009e-029		-28.910000000000000142
1.2589254117941672356e-029		-28.899999999999998579
1.2882495516931340742e-029		-28.890000000000000568
1.3182567385564072292e-029		-28.879999999999999005
1.3489628825916537014e-029		-28.870000000000000995
1.3803842646028847029e-029		-28.859999999999999432
1.4125375446227543544e-029		-28.850000000000001421
1.4454397707459276181e-029		-28.839999999999999858
1.4791083881682073291e-029		-28.829999999999998295
1.513561248436208283e-029		-28.820000000000000284
1.5488166189124812429e-029		-28.809999999999998721
1.5848931924611136035e-029		-28.800000000000000711
1.6218100973589298588e-029		-28.789999999999999147
1.6595869074375607568e-029		-28.780000000000001137
