		log10				x				exact value		f1(x)				absolute error		relative error		szereg				roznica_szereg		blad wzgledny
 -2.975000000000000000000e+001  1.778279410038922717838e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.973999999999999843681e+001  1.819700858609983443781e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.973000000000000042633e+001  1.862087136662867475480e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.971999999999999886313e+001  1.905460717963247319923e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.971000000000000085265e+001  1.949844599758045317808e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.969999999999999928946e+001  1.995262314968879524693e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.969000000000000127898e+001  2.041737944669529319112e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.967999999999999971578e+001  2.089296130854039420627e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.967000000000000170530e+001  2.137962089502231990709e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.966000000000000014211e+001  2.187761623949552734097e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.964999999999999857891e+001  2.238721138568339468924e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.964000000000000056843e+001  2.290867652767772942618e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.962999999999999900524e+001  2.344228815319922061828e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.962000000000000099476e+001  2.398832919019490485055e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.960999999999999943157e+001  2.454708915685030223787e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.960000000000000142109e+001  2.511886431509580226093e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.958999999999999985789e+001  2.570395782768863779619e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.957999999999999829470e+001  2.630267991895381759209e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.957000000000000028422e+001  2.691534803926915658278e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.955999999999999872102e+001  2.754228703338166289488e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.955000000000000071054e+001  2.818382931264453725295e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.953999999999999914735e+001  2.884031503126605835902e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.953000000000000113687e+001  2.951209226666385588637e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.951999999999999957367e+001  3.019951720402016066223e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.951000000000000156319e+001  3.090295432513590573056e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.950000000000000000000e+001  3.162277660168379406393e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.948999999999999843681e+001  3.235936569296282739708e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.948000000000000042633e+001  3.311311214825910630118e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.946999999999999886313e+001  3.388441561392025147060e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.946000000000000085265e+001  3.467368504525316088555e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.944999999999999928946e+001  3.548133892335754303947e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.944000000000000127898e+001  3.630780547701013620834e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.942999999999999971578e+001  3.715352290971725276804e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.942000000000000170530e+001  3.801893963205611818876e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.941000000000000014211e+001  3.890451449942805973117e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.939999999999999857891e+001  3.981071705534972476435e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.939000000000000056843e+001  4.073802778041127619045e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.937999999999999900524e+001  4.168693834703353926520e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.937000000000000099476e+001  4.265795188015926906434e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.935999999999999943157e+001  4.365158322401659452056e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.935000000000000142109e+001  4.466835921509631030564e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.933999999999999985789e+001  4.570881896148750444267e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.932999999999999829470e+001  4.677351412871982106454e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.932000000000000028422e+001  4.786300923226383167646e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.930999999999999872102e+001  4.897788193684461764285e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.930000000000000071054e+001  5.011872336272722591732e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.928999999999999914735e+001  5.128613839913648557913e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.928000000000000113687e+001  5.248074602497726006367e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.926999999999999957367e+001  5.370317963702527373994e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.926000000000000156319e+001  5.495408738576245601347e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.925000000000000000000e+001  5.623413251903490798950e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.923999999999999843681e+001  5.754399373371569552913e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.923000000000000042633e+001  5.888436553555889744632e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
 -2.921999999999999886313e+001  6.025595860743577270289e-030  1.000000000000000000000e+000                             1  1.000000000000000000000e+000  1.000000000000000000000e+000  1.000000000000000000000e+000  0.000000000000000000000e+000  7.165326032804010177062e+254
